name,type,lat,long
Whitby Avenue Playground,picnic table,39.9407497836271,-75.2385240947399
Whitby Avenue Playground,picnic table,39.9405963187698,-75.238256390986
Robert Wilson III Park,picnic table,39.9430973617805,-75.2458511265511
Robert Wilson III Park,picnic table,39.9435762571681,-75.2460591319704
Rufus O Williams Memorial Playground,picnic table,39.9506889854333,-75.2500009429018
Rufus O Williams Memorial Playground,picnic table,39.9500545690086,-75.2499169448591
Cobbs Creek Park,picnic table,39.9539953336085,-75.2488447059055
Cobbs Creek Park,picnic table,39.9538377849776,-75.2488872944324
Cobbs Creek Park,picnic table,39.9535829201565,-75.2489100410467
Cobbs Creek Park,picnic table,39.9532656595433,-75.2494610208185
Johnny Sample Recreation Center,picnic table,39.9577434475343,-75.2495043168094
Johnny Sample Recreation Center,picnic table,39.9586047545153,-75.2479112902913
Johnny Sample Recreation Center,picnic table,39.958832602118,-75.2477757638251
Frank Palumbo Sr Park,picnic table,39.939244620446,-75.1556715955752
West Fairmount Park,picnic table,39.9846903332841,-75.2191390477538
West Fairmount Park,picnic table,39.9848463916643,-75.2208160056881
Bartrams Garden,picnic table,39.93270183644,-75.2116669528564
West Fairmount Park,picnic table,39.9848791803816,-75.2195873696279
West Fairmount Park,picnic table,39.9843841816033,-75.2182932771028
Belmont Grove,picnic table,39.991913652998,-75.2154286679825
West Fairmount Park,picnic table,40.0017687016589,-75.1930634739032
West Fairmount Park,picnic table,40.0015449226975,-75.1931609419125
West Fairmount Park,picnic table,40.0014795245937,-75.1929410273023
East Fairmount Park,picnic table,39.971327238051,-75.1864077905218
East Fairmount Park,picnic table,39.9717306803674,-75.1869530733634
Cobbs Creek Park,picnic table,39.9737119409223,-75.2569809708274
East Fairmount Park,picnic table,39.9734885392428,-75.188014677307
West Fairmount Park,picnic table,40.002182869895,-75.1930736269266
West Fairmount Park,picnic table,40.0025205232999,-75.1930639772177
West Fairmount Park,picnic table,39.9875815072875,-75.2222806265247
West Fairmount Park,picnic table,39.993030669488,-75.1979538699681
West Fairmount Park,picnic table,39.9926051199508,-75.1983534189027
West Fairmount Park,picnic table,39.9942044317686,-75.2132443793361
29th and Chalmers Playground,picnic table,39.9985398353023,-75.179091263813
45th and Sansom Tot Lot,picnic table,39.9561323648396,-75.2118656667556
48th and Woodland Playground,picnic table,39.9413944519518,-75.2103314907759
48th and Woodland Playground,picnic table,39.9423051599285,-75.2101886105218
Allens Lane Art Center,picnic table,40.0516981733727,-75.2025962461448
Allens Lane Art Center,picnic table,40.0512589552888,-75.2033334987809
Fletcher B Amos Playground,picnic table,39.982052008963,-75.1600667271719
Athletic Recreation Center,picnic table,39.9781463295056,-75.1785787414935
Giuseppe Bardascino Park,picnic table,39.9378359467059,-75.159922585264
Campbell Square,picnic table,39.9857898343233,-75.1036231152343
Campbell Square,picnic table,39.9859855581598,-75.1036126993202
Campbell Square,picnic table,39.9863076640064,-75.1032831004244
Campbell Square,picnic table,39.9862331834278,-75.1034338338685
Carousel House Recreation Center,picnic table,39.9790217839764,-75.2126708020627
Carroll Park,picnic table,39.9708545206265,-75.236327487133
Carroll Park,picnic table,39.9713019673174,-75.2366027960309
Pennypack on the Delaware,picnic table,40.0268023116616,-75.0134415978078
Pennypack on the Delaware,picnic table,40.0268968732478,-75.012891970734
Pennypack on the Delaware,picnic table,40.0273845275813,-75.0120813849063
Pennypack on the Delaware,picnic table,40.0277038423522,-75.0121297441402
Pennypack on the Delaware,picnic table,40.0277620342912,-75.0114012619196
Penn Treaty Park,picnic table,39.9669122506194,-75.1283970282154
Penn Treaty Park,picnic table,39.9667394826128,-75.1283942785016
Joseph E Mander Playground,picnic table,39.9888780252063,-75.1872711564678
Cobbs Creek Park,picnic table,39.9729175850214,-75.2551798638366
Cobbs Creek Park,picnic table,39.9730326351454,-75.2554379424459
Cobbs Creek Park,picnic table,39.9738248063043,-75.2564353952987
Cobbs Creek Park,picnic table,39.9732849727454,-75.2561900745439
West Fairmount Park,picnic table,39.9783163485439,-75.2076527469056
West Fairmount Park,picnic table,39.9784529386195,-75.2073656223639
West Fairmount Park,picnic table,39.9789006293717,-75.2070425307673
East Fairmount Park,picnic table,39.9723856757768,-75.1872686912262
East Fairmount Park,picnic table,39.9720668542449,-75.1878364473348
East Fairmount Park,picnic table,39.971737685354,-75.1878264902085
East Fairmount Park,picnic table,39.972377199608,-75.188165509285
East Fairmount Park,picnic table,39.9717336642212,-75.1887409936941
East Fairmount Park,picnic table,39.9713696529343,-75.188484184235
West Fairmount Park,picnic table,39.9947231260578,-75.2131707078491
West Fairmount Park,picnic table,39.994656786014,-75.2134683662624
West Fairmount Park,picnic table,39.9945065845128,-75.2138690289247
West Fairmount Park,picnic table,39.994342872498,-75.2140105279263
Chamounix Tennis Courts,picnic table,39.9992621860392,-75.2022303843913
West Fairmount Park,picnic table,39.9870761964939,-75.2228650917193
West Fairmount Park,picnic table,39.986662132393,-75.2229787862409
West Fairmount Park,picnic table,39.9821503012936,-75.2052642170797
West Fairmount Park,picnic table,39.9913124266278,-75.2000303876696
West Fairmount Park,picnic table,39.9907739030074,-75.2006729462417
Belmont Grove,picnic table,39.9925280627273,-75.2150034372388
Franklin Delano Roosevelt Park,picnic table,39.9034494458027,-75.1831631204315
Franklin Delano Roosevelt Park,picnic table,39.9022529055226,-75.1836174781935
Franklin Delano Roosevelt Park,picnic table,39.9018839305102,-75.1836076911793
Franklin Delano Roosevelt Park,picnic table,39.9012620955558,-75.1826472302798
Franklin Delano Roosevelt Park,picnic table,39.9013451222341,-75.1821593919941
Franklin Delano Roosevelt Park,picnic table,39.9016155973215,-75.1810218372423
Franklin Delano Roosevelt Park,picnic table,39.8996271852201,-75.1787516912159
Franklin Delano Roosevelt Park,picnic table,39.8997772924194,-75.1784662933932
Franklin Delano Roosevelt Park,picnic table,39.9017529952654,-75.1762908662685
Franklin Delano Roosevelt Park,picnic table,39.9013188143416,-75.1762824897812
Franklin Delano Roosevelt Park,picnic table,39.9013759019535,-75.1771857378316
Franklin Delano Roosevelt Park,picnic table,39.8998468795712,-75.1779875244424
Franklin Delano Roosevelt Park,picnic table,39.899927908461,-75.1776388756875
Franklin Delano Roosevelt Park,picnic table,39.9000533741443,-75.1771098986747
Franklin Delano Roosevelt Park,picnic table,39.9026076994476,-75.1756993459701
Fernhill Park,picnic table,40.0203230387726,-75.1669620019014
Fernhill Park,picnic table,40.0196042814881,-75.1689983699981
Fernhill Park,picnic table,40.0192956889059,-75.1695521656841
Blue Bell Park,picnic table,40.032008210019,-75.1958168942437
Blue Bell Park,picnic table,40.0315426295317,-75.1954070874608
Blue Bell Park,picnic table,40.0312256661462,-75.195248469311
Blue Bell Park,picnic table,40.0307159518892,-75.1949477921266
Blue Bell Park,picnic table,40.0305924820138,-75.1952236583542
Blue Bell Park,picnic table,40.0304043876405,-75.1951223304549
David P Montgomery Field,picnic table,40.0220832181544,-75.2033376281256
Salvatore Pachella Memorial Field,picnic table,40.0457984685605,-75.2158750594495
Wissahickon Valley Park,picnic table,40.0534591664915,-75.2177013543251
Wissahickon Valley Park,picnic table,40.0588751822378,-75.2204400102079
Wissahickon Valley Park,picnic table,40.066407009595,-75.2206872354929
Wissahickon Valley Park,picnic table,40.071299073198,-75.2246205231483
Wissahickon Valley Park,picnic table,40.073083895032,-75.2247419964285
Cecil B Moore Recreation Center,picnic table,39.9941775247336,-75.16769781572
Corporal Jimmy OConnor Memorial Playground,picnic table,40.0794912345923,-74.9746220445718
Charles H Chew Playground,picnic table,39.9378176919844,-75.1740170197606
Clarence H Clark Park,picnic table,39.9489803517363,-75.2098476578666
Clayborne and Lewis Playground,picnic table,39.9736449149696,-75.1990185783011
Cloverly Park,picnic table,40.0255510798983,-75.1807272470245
Jose Manuel Collazo Park,picnic table,39.9995827545548,-75.1304966947294
Rainbow De Colores Playground,picnic table,39.9867956260122,-75.1415436502101
Rainbow De Colores Playground,picnic table,39.9869521286919,-75.1418738995759
John Dickinson Square,picnic table,39.9277863215471,-75.1518773330698
East Poplar Playground,picnic table,39.966635084063,-75.1512693969888
Fishtown Recreation Center,picnic table,39.9720161628613,-75.1277840987778
Eileen Fitzpatrick Playground,picnic table,40.0962694110641,-74.9718461805555
Ford Road Playground,picnic table,39.9994335541914,-75.206425564013
Fort Mifflin,picnic table,39.8751690250014,-75.2114557603636
Fox Chase Recreation Center,picnic table,40.0741729090501,-75.0825033794615
Frankford and Solly Playground,picnic table,40.0439881692997,-75.0209478455463
Franklin Square,picnic table,39.9554367794193,-75.1507854974422
Franklin Square,picnic table,39.9559327062307,-75.1510492883223
Susan Gorgas Park,picnic table,40.0369441080601,-75.2204941033764
Thomas I Guerin Recreation Center,picnic table,39.9233547027595,-75.1728086028955
Eric W (Hank) Gathers Jr Recreation Center,picnic table,39.9874269872038,-75.1758189156207
Eric W (Hank) Gathers Jr Recreation Center,picnic table,39.9875907549378,-75.1747983477085
Hawthorne Cultural Center,picnic table,39.9384829545021,-75.1636364143557
Nelson M Herron Playground and Recreation Center,picnic table,39.930583778938,-75.1484769084338
Horton Street Play Lot,picnic table,39.9662688444682,-75.2432377257483
Inn Yard Park,picnic table,40.0092177077475,-75.1950789862374
Kingsessing Recreation Center,picnic table,39.9418580742628,-75.217327088626
Lardners Point Park,picnic table,40.0142242750164,-75.0478465960531
Lardners Point Park,picnic table,40.0141973665024,-75.0475946649252
Lardners Point Park,picnic table,40.0147071560189,-75.046484217167
John A Lee Cultural Center,picnic table,39.9622487969771,-75.2102763091137
Louis I Kahn Park,picnic table,39.9451113436219,-75.1599883893415
Malcolm X Memorial Park,picnic table,39.9530552227429,-75.225559096674
Mantua Community Garden,picnic table,39.9635481618656,-75.1918543111415
Mario Lanza Park,picnic table,39.9373300758474,-75.1472791231914
Dr Martin Luther King Jr Recreation Center,picnic table,39.9805649208834,-75.1698010653509
Max Myers Playground,picnic table,40.0393351401707,-75.0712397822867
Mifflin Square,picnic table,39.9189841659508,-75.156709666264
